nom_centre;adresse;code_postal;ville;site_web_inscription;latitude;longitude
INSTITUT DE TOURAINE - IEFT;"1 rue de la Grandière, 37020, TOURS CEDEX 1";37020;Tours Cedex 1;https://francais.cci-paris-idf.fr/inscription-candidat/contact/490;47.391465;0.683604
TOURS LANGUES;36 rue Briçonnet;37000;Tours;http://www.langues.com;47.394637;0.681486
AFFIC CRIA 37;"3, place Raspail";37000;Tours;http://www.cria37.com;45.75553;4.840634
GRETA NORD ISÈRE;"33, avenue d'Italie Le Transalpin II CS";94002;Bourgoin-Jallieu;http://gretani.com/;45.412413;-1.141726
THE PLACE DEBY;"2 rue de Sault, 38000, GRENOBLE";38000;Grenoble;https://francais.cci-paris-idf.fr/inscription-candidat/contact/941;45.189709;5.72633
LEO LAGRANGE FORMATION - ÉCHIROLLES;"11 Rue Clément Ader, 38130, ÉCHIROLLES";38130;Échirolles;https://francais.cci-paris-idf.fr/inscription-candidat/contact/469/23;45.136098;5.713852
COOPILOTE;"17 chemin du Defois, 39100, DOLE";39100;Dole;https://francais.cci-paris-idf.fr/inscription-candidat/contact/379/23;47.106207;5.497391
FRATE FORMATION CONSEIL - LONS-LE-SAUNIER;"11 avenue Thurel, 39000, LONS-LE-SAUNIER";39000;Lons-le-Saunier;https://francais.cci-paris-idf.fr/inscription-candidat/contact/431;46.672895;5.552652
INFREP;8 rue Marcel David;40000;Mont-de-Marsan;http://www.infrep.org;47.702025;-0.061626
MOVE UP FORMATION - BLOIS;"16 Rue de la Vallée Maillard, 41000, BLOIS";41000;Blois;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1077/23;47.610257;1.33323
CRIA 41;18 rue Roland Dorgelès;41000;Blois;http://www.cria41.org;49.527955;0.109779
LÉO LAGRANGE FORMATION;1 rue Marcelin Girinon;42160;Andrézieux;http://www.ifra.fr;45.524248;4.255672
LEO LAGRANGE FORMATION - ROANNE;"25 rue Benoit Malon, 42300, ROANNE";42300;Roanne;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1023/23;46.034321;4.070016
LEO LAGRANGE FORMATION - SAINT-CHAMOND;"59 rue Maurice Bonnevialle, 42400, SAINT-CHAMOND";42400;Saint-Chamond;https://francais.cci-paris-idf.fr/inscription-candidat/contact/471/23;45.470103;4.509317
CEFI;6 allée Giacomo Puccini;42000;Saint-Etienne;http://www.cefi-formation.fr;45.471573;4.395076
FRATE FORMATION CONSEIL - LE PUY-EN-VELAY;"16 rue des Moulins , 43000, LE PUY-EN-VELAY";43000;Le Puy-en-Velay;https://francais.cci-paris-idf.fr/inscription-candidat/contact/441;45.038341;3.884967
GRETA AUVERGNE AGENCE 43;27 boulevard du président Bertrand;43000;Le Puy-en-Velay;https://greta.ac-clermont.fr/nos-greta/greta-auvergne-agence-43/;45.03596;3.885075
LEO LAGRANGE FORMATION - BREST;"Habitat des jeunes du Pays d'Ancenis - 85 boulevard Huchon, 44150, ANCENIS-SAINT-GEREON";44150;Ancenis-Saint-Gereon;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1051/23;47.366415;-1.18358
CFP PRESQU'ÎLE - CARQUEFOU;"Centre Commercial La Jalousie - Route de Paris, 44470, CARQUEFOU";44470;Carquefou;https://francais.cci-paris-idf.fr/inscription-candidat/contact/350;47.259658;-1.501851
CEFOL MANAGEMENT;"3 RUE BAYARD, 44100, NANTES";44100;Nantes;https://francais.cci-paris-idf.fr/inscription-candidat/contact/991/23;47.210799;-1.571279
ESPACES FORMATION;1 rue de la Petite Reine;44187;Nantes;http://www.espaces-formation.com;47.216072;-1.59957
INSTITUT FONELIA;Passage de la Poule noire;44000;Nantes;https://fonelia.fr/;45.440388;4.309195
CFP PRESQU'ÎLE - NANTES;"1 rue Victor Hugo, 44400, REZÉ";44400;Rezé;https://francais.cci-paris-idf.fr/inscription-candidat/contact/352;47.188854;-1.551664
CFP PRESQU'ÎLE - SAINT-NAZAIRE;"6 rue Étoile du matin, 44600, SAINT-NAZAIRE";44600;Saint-Nazaire;https://francais.cci-paris-idf.fr/inscription-candidat/contact/353;47.259627;-2.269752
CEFOL MANAGEMENT;101 avenue de la République;44600;Saint-Nazaire;https://www.cefolmanagement.fr/;48.863526;2.384525
AGAFOR;"Centre Nelson Mandela 31, avenue Chautemps";45200;Montargis;http://www.agafor.net;48.00716;2.746387
LEO LAGRANGE FORMATION - ORLÉANS;"2B RUE ALAIN, 45100, ORLÉANS";45100;Orléans;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1027/23;47.831237;1.931437
